Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Description,Car Features,Images URL's,Car Profile,Formatted Car Name
1080491605,Corolla Grande,Toyota,Altis Grande,2014,150000,3300000,Petrol,Sindh,Original,Imported,Manual,Used,"Hyderabad Road, Mirpur Khas",2014 model second owner car Toyota Corolla 1.8 Grand ManuaL 2. G  full genian gari m Kisi kism ka koi Kam Nhi ha family use car,"ABS, Air Bags","['https://images.olx.com.pk/thumbnails/412420974-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420975-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420976-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420977-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420978-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420979-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420980-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420981-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420982-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420983-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420984-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420985-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420986-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/412420987-800x600.jpeg']",https://www.olx.com.pk/item/corolla-grande-iid-1080491605,
1080356364,Suzuki ravi,Suzuki,Ravi,2017,60000,1500000,Petrol,Islamabad,Original,Imported,Manual,Used,"Asghar Mall Scheme, Rawalpindi","Suzuki ravi with hydraulic jack system complete for sale no accident no paint in original condition 
o317 6o2o124",AM/FM Radio,"['https://images.olx.com.pk/thumbnails/411633507-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411633508-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411633509-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411633510-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411633511-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411633512-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-ravi-iid-1080356364,
1080281863,Toyota Yaris,Toyota,Yaris,2021,42000,4100000,Petrol,Karachi,Original,Local,Automatic,Used,"Tariq Road, Karachi","*MAKE= TOYOTA*
*MODEL = YARIS*
*PACKAGE=1.3 ATIV C. V. T*
*COLOUR TRIM=Graphite Gray*
*MODEL=2021*
*MILEAGE=42000*
*BODY STATUS= GENUINE %*
*REMOTE KEY ENTRY*
*ANDROID TV  BACK CAMERA REAR*
*MULTI MEDIA STEERING*
*FOG LAMP=ok*
*SMOOTH DRIVE=100
*SUSPENSION=100*
*EXCEL=100%*
*ENGINE=100%*
*DEMAND 4100,000/-final","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/411187762-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187763-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187764-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187765-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187766-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187767-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187768-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187769-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187770-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187771-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411187772-800x600.jpeg']",https://www.olx.com.pk/item/toyota-yaris-iid-1080281863,
1079820337,Mira ES,Daihatsu,Mira,2012,100000,2070000,Petrol,Karachi,Original,Imported,Automatic,Used,"Citizen Road, Hyderabad","Mira ES Icco IDLE
G gread
Model 12 15
colour Ice Blue
 touchup 3 piece
own Engine
suspension 100","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Climate Control, Immobilizer Key, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/408431497-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431499-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431500-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431502-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431504-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431506-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431508-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431509-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431511-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/408431513-800x600.jpeg']",https://www.olx.com.pk/item/mira-es-iid-1079820337,
1080273049,Daihatsu currently 2009,Daihatsu,Cuore,2008,84512,745000,Petrol,Karachi,Original,Local,Manual,Used,"Gulzar-E-Hijri, Karachi","Good condition all documents CPLC career Inside original outside shower 03,18,27,66,78,3",CD Player,"['https://images.olx.com.pk/thumbnails/411134710-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411134711-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411134712-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411134713-800x600.jpeg']",https://www.olx.com.pk/item/daihatsu-currently-2009-iid-1080273049,Daihatsu currently 2009
1080407586,Kia classic,KIA,Classic,2000,12345,450000,Petrol,Karachi,Original,Local,Manual,Used,"Korangi Industrial Area, Karachi","kia classic
english green coloured 
CNG petrol 
all papers are clear
cplc is also cleared
taxes are paid till 2008
engine is in good condition 10/10
body is in good condition 10/10","Air Conditioning, AM/FM Radio, Power Mirrors, Power Windows, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/411926130-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926131-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926132-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926133-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926134-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926135-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926136-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926137-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926138-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926139-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926140-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/411926141-800x600.jpeg']",https://www.olx.com.pk/item/kia-classic-iid-1080407586,
1078275738,Daihatsu Move,Daihatsu,Move,2012,77000,2275000,Petrol,Lahore,Original,Imported,Automatic,Used,"Gulberg 3, Lahore","Daihatsu Move
Excellent condition 
2012 model 2015 import and registered
Original 100% powerful engine 
Lahore registered 
Original millage 77000
Sparingly used car","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/399224124-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224125-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224126-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224127-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224128-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224129-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224130-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224131-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224132-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224133-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/399224134-800x600.jpeg']",https://www.olx.com.pk/item/daihatsu-move-iid-1078275738,
1080046997,Honda civic 2010,Honda,Civic Prosmetic,2010,92000,2600000,Petrol,Bahawalpur,Original,Local,Automatic,Used,"Model Town C, Bahawalpur","Honda Civic 2010 Model Reborn
Total in Original Paint bumper shower
Water dripping engine 
Leather Seats
New Tyers 10/10 Yokohama
Minro scratch
Lcd and back cam font cams installed
Full Option
Automatic
Sunroof
92000km driven orginal
Islamabad registration
Smart card
wathsap ",Sun Roof,"['https://images.olx.com.pk/thumbnails/409780837-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780838-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780839-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780840-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780841-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780842-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780843-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780844-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780846-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780848-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780849-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780851-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780853-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780854-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/409780855-800x600.jpeg']",https://www.olx.com.pk/item/honda-civic-2010-iid-1080046997,Honda civic 2010
1070202970,Santro Club 2005,Hyundai,Santro,2005,95000,910000,Petrol,Lahore,Original,Local,Manual,Used,"Harbanspura, Lahore",Family used santro Club for sale in excellent condition. Total genuine inside and outside perfect engine and Suspension. original documents and life time token paid.,"Air Conditioning, Alloy Rims, AM/FM Radio, CD Player","['https://images.olx.com.pk/thumbnails/387742973-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742974-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742975-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742976-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742977-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742978-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742979-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742980-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742981-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742982-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742983-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387742984-800x600.jpeg']",,Santro Club 2005
1076278184,Suzuki bolan,Suzuki,Bolan,2019,60700,1375000,Petrol,Lahore,Original,Local,Manual,Used,"Kot Abdul Malik, Sheikhüpura","total genion & documents clear
alloy rims","Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Immobilizer Key, Rear speakers, Rear Camera, USB and Auxillary Cable","['https://images.olx.com.pk/thumbnails/387657213-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657214-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657215-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657216-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657217-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657218-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657219-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657220-800x600.jpeg', 'https://images.olx.com.pk/thumbnails/387657221-800x600.jpeg']",https://www.olx.com.pk/item/suzuki-bolan-iid-1076278184,
